// Auto-generated by Matt Caspermeyer 21-Oct-2022 for Hyperion Mod V1.5 - see bottom of file for changes
//
// terrain movement cost chart
//
// V2015-02-21 (Matt): Added new Mech, Gate, and Underwater movement types
//
// Map Editor Notes:
//
// +---------------------------------------+--------------------------------------------------+
// |Tile Modifiers                         |  Tile Types				      |
// |                                   Tile Sets					      |
// |Normal/Ice/Jungle/Barren  City         |  Normal     City     Ice        Jungle     Barren|
// +---------------------------------------+--------------------------------------------------+
// |Mountain                  Tower        |  Ocean...................................  Mud   |
// |Hill...........................        |  Grass...................................  Dirt  |
// |Delta..........................        |  Arid Grass Concrete Arid Grass..........  Dirt  |
// |River..........................        |  Desert..................................  Dust  |
// |Road...........................        |  Ice        Tundra   Ice        Tundra     Crust |
// |Tree                      Urban Sprawl |  Tundra     Jungle   Tundra     Jungle     Crust |
// +---------------------------------------+--------------------------------------------------+
//
// 1. Tile Types cannot be mixed.
// 2. Tree can be mixed with Mountain, Hill, and River as long as it is placed first
// 3. Road can be mixed with any terrain except ocean (even on Barren worlds).
// 4. No other Tile Modifiers can be mixed.
//
// names of terrains and tile set types MUST stay in the order below
// for each type of terrain, lists the tile set type and the movement cost
// for the movement types...foot, wheel, tread, air, naval, space, hover, jump,
// crawler, lander
//
// desert row heading is for city planets
//
// Mames of terrains and tile set types MUST stay in the order below
// for each type of terrain, lists the tile set type and the movement cost
// for the movement types...foot, wheel, tread, air, naval, space, hover, jump,
// crawler, lander, mech, gate, and underwater.
//
// Note that all values are read in as floats and multiple terrain types are multiplied
// together and then divided by the total number of terrain tiles. This becomes the cost
// to move through that type of terrain.
//
// If a unit can move on road, then its move cost is set to 1
//
// Examples:
//  1. Artillery Wheel unit is on a normal planet with grass as base tile, then trees,
//     river, and then road. The Movement Cost is:
//     Grass = 2.0
//     Trees = 3.5
//     River = 6.0
//     Road = .01
//     Movement Cost = 2.0 * 3.5 * 6.0 * 0.01 / 4 = 0.105 -> round up to 1
//  2. Submarine Underwater unit on ocean jungle planet
//     Jungle = 1.0
//     Movement Cost = 1
//  3. Tracker Legion Foot unit is on jungle grass with trees and mountains
//     Grass = 2.0
//     Mountain = 2.5
//     Tree = 2.0
//     Movement Cost = 2.0 * 2.5 * 2.0 / 3 = 3.33 -> round up to 4
//  4. Hover Tank Hover unit on Desert Planet with Arid Grass with River
//     Arid Grass = 2.0
//     River = 1.0
//     Movement Cost = 2.0 * 1.0 / 2 = 1
//

//                 Foot Wheel Tread Air Naval Space Hover Jump Crawler Lander Mech Gate Underwater
{ "ocean"
   "normal"        "0.0  0.0   0.0  1.0  1.0   1.0   1.0   1.0   0.0     1.0   0.0  1.0    1.0"
   "desert"        "0.0  0.0   0.0  1.0  1.0   1.0   1.0   1.0   0.0     1.0   0.0  1.0    1.0"
   "ice"           "0.0  0.0   0.0  1.0  1.0   1.0   1.0   1.0   0.0     1.0   0.0  1.0    1.0"
   "jungle"        "0.0  0.0   0.0  1.0  1.0   1.0   1.0   1.0   0.0     1.0   0.0  1.0    1.0"
   "barren"        "2.0  2.0   2.0  1.5  0.0   1.0   1.0   1.0   2.0     1.0   2.0  1.0    0.0"
}
//                 Foot Wheel Tread Air Naval Space Hover Jump Crawler Lander Mech Gate Underwater
{ "grass"
   "normal"        "1.0  1.0   1.0  1.0  0.0   1.0   1.0   1.0   1.0     1.0   1.0  1.0    0.0"
   "desert"        "1.0  1.0   1.0  1.0  0.0   1.0   1.0   1.0   1.0     1.0   1.0  1.0    0.0"
   "ice"           "1.0  1.0   1.0  1.0  0.0   1.0   1.0   1.0   1.0     1.0   1.0  1.0    0.0"
   "jungle"        "1.0  1.0   1.0  1.0  0.0   1.0   1.0   1.0   1.0     1.0   1.0  1.0    0.0"
   "barren"        "1.0  1.0   1.0  1.5  0.0   1.0   1.0   1.0   1.0     1.0   1.0  1.0    0.0"
}
//                 Foot Wheel Tread Air Naval Space Hover Jump Crawler Lander Mech Gate Underwater
{ "arid grass"
   "normal"        "1.0  1.0   1.0  1.0  0.0   1.0   1.0   1.0   1.0     1.0   1.0  1.0    0.0"
   "desert"        "1.0  1.0   1.0  1.0  0.0   1.0   1.0   1.0   1.0     1.0   1.0  1.0    0.0"
   "ice"           "1.0  1.0   1.0  1.0  0.0   1.0   1.0   1.0   1.0     1.0   1.0  1.0    0.0"
   "jungle"        "1.0  1.0   1.0  1.0  0.0   1.0   1.0   1.0   1.0     1.0   1.0  1.0    0.0"
   "barren"        "1.0  1.0   1.0  1.5  0.0   1.0   1.0   1.0   1.0     1.0   1.0  1.0    0.0"
}
//                 Foot Wheel Tread Air Naval Space Hover Jump Crawler Lander Mech Gate Underwater
{ "desert"
   "normal"        "2.0  1.5   1.5  1.0  0.0   1.0   1.0   1.0   1.5     1.0   2.0  1.0    0.0"
   "desert"        "2.0  1.5   1.5  1.0  0.0   1.0   1.0   1.0   1.5     1.0   2.0  1.0    0.0"
   "ice"           "2.0  1.5   1.5  1.0  0.0   1.0   1.0   1.0   1.5     1.0   2.0  1.0    0.0"
   "jungle"        "2.0  1.5   1.5  1.0  0.0   1.0   1.0   1.0   1.5     1.0   2.0  1.0    0.0"
   "barren"        "1.5  1.5   1.5  1.5  0.0   1.0   1.0   1.0   1.5     1.0   1.5  1.0    0.0"
}
//                 Foot Wheel Tread Air Naval Space Hover Jump Crawler Lander Mech Gate Underwater
{ "ice"
