// Auto-generated by Matt Caspermeyer 03-Jul-2024 for Hyperion Mod V1.5 - see bottom of file for changes
//
// Technology Table
//
// Hyperion for EFS V1.52
//
// This has been a long time coming, but Hyperion has been reimagined for the latest version of EFS! The technology tree has been rebuilt, from the ground up, to include a vastly expanded array
// of technologies to choose from. The number of technologies (570) far exceed a normal game's worth of play with over 11,600 years of research that requires at least 116 Labs to store all the data.
// Players should find a significant amount of replay value with each new game of Hyperion!
//
// The like levels are now scaled by difficulty level (see EFS.INI: like_level_ ...) - the values change based on the difficulty level
// Note the Sect of the Patriarch's Heretical value in SECT.DAT subtracts a random value from the like so Patriarch's that have a higher Heretical
// Value are more intolerant of technology (and those with a value below 0 are more tolerant of technology).
//
// Like level values have been updated per their descriptions in the Manowitz Volumes and rescaled to a max of 20 (for average difficulty) to give greater resolution from most hated to best liked
//
// Like level: 0 used in game for when Patriarch accepts contract to proscribe and that is what will be done next turn
//             1 - ( like_level_proscribe-1 ), hate - automatically proscribed at the start of the game
//             like_level_proscribe - like_level_max, like - can be proscribed as the game progresses based on many factors decribed below
//
// When a new Patriarch is chosen:
//  1. The range of heretical values for all the Human Sects are assessed.
//  2. The techs are cycled through and a random value between the heretical ranges is generated:
//     a. If the random value is less than 0 (favorable to tech) then the tech likeLevel is increased by this modifier but no more than the like_level_max - 1
//  3. The last generatd random value is used:
//     a. If the random value is less than 0:
//         i. The like_level_proscribe is decreased by that value, but not more than the starting value at the beginning of the game
//        ii. like_level_decay is increased by that value, but not more than the starting value at the beginning of the game
//  4. like_level_years is reset
//
// When it comes to proscribing technology, here is how it works (refer to EFS.INI & SECT.DAT for actual parameter values):
//   1. Every year check if the tech like is > like_level_min & < like_level_max then:
//      a. There is a 1 in like_level_decay chance of the poosibility of
//      b. If like_level_decay_by_like = 0 in EFS.INI, then the like level is decremented by 1
//      c. If like_level_decay_by_like = 1 in EFS.INI, then another check is performed:
//         i. If Random Roll of like_level_max > like then tech drops 1 like point
//   2. If the ( tech like - the Patriarch's Heretical random modifier ) < like_level_proscribe then the tech is added to the pick list
//   3. The most hated techs in the pick list are used to randomly pick the most hated tech to proscribe for that turn
//      a. When the tech is proscribed, it is set to like_level_min - proscribe_reset_interval, meaning that it will not be able to be unproscribed until a like_level_years reset
//   4. If multi_tech_proscribe = 1 in EFS.INI there is a chance of proscribing more than 1 tech per year:
//      i. If a roll out of 100 is less than the number left in the pick list for that year after the first most hated tech is picked
//     ii. If multi_tech_proscribe = 0 in EFS.INI, then there is no chance to proscribe additional technologies
//   5. If no tech is found to proscribe this year, then like_level_years keeps track of how long it has been since a tech has been proscribed
//   6. If no tech has been found for like_level_years, then:
//      a. if ( like_level_proscribe < (like_level_max / 2 + 1) ) then like_level_proscribe is bumped up 1
//      b. else if ( like_level_decay > 2 ) then like_level_decay is bumped down by 1
//   Notes: From this it can be seen that like levels between min and max gradually float down over decades / centuries of playing and that the proscribe level can float up if many years
//          pass without finding a technology to proscribe, lastly, if the proscribed level is max, then the decay rate increases causing like values to fall more rapidly, giving the algorithm
//          a great deal of flexibilty in finding techs to proscribe throughout the course of a game
//
// When it comes to unproscribing technology:
//   1. If a technology has not been proscribed during that year, the possibility arises for a tech to be unproscribed.
//   2. The tech tree is cycles, if the technology is proscribed:
//      a. If the ( likeLevel - the Patriarch's Heretical random modifier ) > like_level_proscribe then the tech is added to the list of possible techs to unproscribe
//      b. Else If (Random value between 0 and likeLevel) > (the Patriarch's Heretical random modifier + a Random value between 0 and the like_level_proscribe) then the likeLevel is the tech is incremented by 1
//   3. If the unproscribe list has techs in it, unproscribe the tech with the highest like value, or if multiple techs have the same highest like value, choose one of those to unproscribe
//   4. When unproscribing a tech, its like value is set to like_level_max + unproscribe_reset_interval so that it will not be unproscribed until a like_level_years reset
//
// If a tech has not been selected to either proscribe / unproscribe:
//   1. like_level_years is decremented by 1
//   2. If like_level_years has fallen to 0:
//      a. Reset like_level_years
//      b. If like_level_proscribe < ( like_level_max / 2 + 1 ) like_level_proscribe is increased by 1
//      c. Else If like_level_decay > 2, then decrement it by 1
//      d. Cycle through the techs:
//          i. If likeLevel < like_level_min, increment likeLevel by 1
//         ii. Else If likeLevel > like_level_max, decrement likeLevel by 1
//             1. If likeLevel == like_level_max, reset likeLevel to like_level_proscribe + a Random number between 1 and like_level_proscribe
//
// For Diplomacy:
//   1. Requesting to Proscribe a Tech:
//      a. The tech's like value is computed (value must be 1 or higher): likeLevel + liveLevel / like_level_proscribe - the Patriarch's Heretical modifier
//      b. Compute the cost required to proscribe the tech: (Like Value)^2 * ( a Random value between proscribe_diplo_min and max ) * ( 150 - Church's Like of Player ) / 100 * diffScalar / 100
//      c. If the technology was just unproscribed, add ( a random value between force_proscribe_diplo_min and max ) * diffScalar / 100
//   2. Requesting to UnProscribe a Tech:
//      a. The tech's like value is computed (value must be 1 or higher): like_level_proscribe + like_level_proscribe / the tech's likeLevel (clipped at no lower than 1) + the Patriarch's Heretical random modifier
//      b. Compute the cost required to proscribe the tech: (Like Value)^2 * ( a Random value between unproscribe_diplo_min and max ) * ( 150 - Church's Like of Player ) / 100 * diffScalar / 100
//      c. If the technology was just unproscribed, add ( a random value between force_unproscribe_diplo_min and max ) * diffScalar / 100
//   3. If the player offers sufficient Firebirds then it is possible to (Un)Proscribe the Tech
//
//
// Vol and Ch are the volume and chapter where you can find more info in
// the Brother Manowitz files.
//
// Extra is added info about the technology.  This text is added onto a generated list of which technologies are allowed if you have this one.
//
// Owner means only that owner can research that tech - see UNIT.DAT for valid owner values
//----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//                                                  |       T  e  c  h       N  e  e  d  e  d       | Cost | Like | Vol | Ch | Owner | Description / Info
//                                                  |   0   1    2     3     4   5   6   7   8   9  |      |      |     |    |       |
//----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
{
"name" "Nothing"                              "stat" "900   0    0     0     0   0   0   0   0   0      0    100     1      1    -1"   "extra" "Select this to research no technology. Click Archive to view Volume 1: The Known Worlds for more information."
"name" "Medical & Biological"                 "stat" "990   0    0     0     0   0   0   0   0   0     50    100     2      1    -1"   "extra" "All technology directly related to Medical and Biological advancements are in this tree. Click Archive to view Volume 2: Medical & Biological."
"name" "Rational Medicine"                    "stat" "  1   0    0     0     0   0   0   0   0   0     75     99     2      2    -1"   "extra" "Scientific-based study of using observation of the body as the basis for medical knowledge and its advancement."
"name" "Hospitals"                            "stat" "  1 126    0     0     0   0   0   0   0   0    150     97     2      3    -1"   "extra" "Use of hospitals (which can now be built by Engineers) and their advancement to increase life expectancy."
"name" "Medicinal Compounds"                  "stat" "  1   0    0     0     0   0   0   0   0   0     75     93     2      4    -1"   "extra" "Scientific-based study of medicinal compounds and their application and advancement."
"name" "Genetics"                             "stat" "  1   0    0     0     0   0   0   0   0   0     75     90     2      5    -1"   "extra" "Scientific study of genes and heredity."
"name" "Disease Surveillance"                 "stat" "  1   0    0     0     0   0   0   0   0   0     75     95     2      6    -1"   "extra" "A collection, analysis, and interpretation of diseases and the advancement of the study of disease."
"name" "Scholastic Medicine"                  "stat" "  2   0    0     0     0   0   0   0   0   0    100     98     2      7    -1"   "extra" "Use of academic physicians to teach students in scholastic settings enabling advancements in various medical fields."
"name" "Surgical Procedures"                  "stat" "  3   0    0     0     0   0   0   0   0   0    175     96     2      8    -1"   "extra" "Study of specific surgical procedures that lead to the resolution of various medical issues."
"name" "Pain Medication"                      "stat" "  4   0    0     0     0   0   0   0   0   0    100     91     2      9    -1"   "extra" "Specific study of medications that ease pain."
"name" "Chromosomal Theory"                   "stat" "  5   0    0     0     0   0   0   0   0   0    100     88     2     10    -1"   "extra" "Study of chromosomes as the vehicle for heredity and the advancement of genetic theories."
"name" "Epidemiology"                         "stat" "  6   0    0     0     0   0   0   0   0   0    100     94     2     11    -1"   "extra" "Study of the incidence, distribution, and possible control of disease and other health-related factors."
"name" "Transfusion"                          "stat" "  4   7    0     0     0   0   0   0   0   0    150     92     2     12    -1"   "extra" "Study of the procedure of where blood is placed into a patient's blood stream and related advancements."
"name" "Germ Theory"                          "stat" "  7   0    0     0     0   0   0   0   0   0    125     96     2     13    -1"   "extra" "Study of pathogens that affect disease."
"name" "Surgical Instruments"                 "stat" "  8   0    0     0     0   0   0   0   0   0    200     94     2     14    -1"   "extra" "Study and development of instruments used in surgical procedures."
"name" "Medical Imaging"                      "stat" "  8 138    0     0     0   0   0   0   0   0    250     89     2     15    -1"   "extra" "Use of X-Rays to image the body for medical purposes."
"name" "Pharmaceuticals"                      "stat" "  9 126    0     0     0   0   0   0   0   0    200     89     2     16    -1"   "extra" "Study of the use of compounds used for medicinal purposes."
"name" "Molecular Biology"                    "stat" " 10 134    0     0     0   0   0   0   0   0    475     84     2     17    -1"   "extra" "Studies the composition, structure, and interactions of cellular molecules that perform biological processes that maintain cell functions."
"name" "Genomic Mapping"                      "stat" " 11  65  220     0     0   0   0   0   0   0   1100     77     2     18    -1"   "extra" "Identifies the location of a gene on a chromosome and the distances between genes and different sites within a gene to give a better understanding of heredity and disease."
"name" "Organ Transplants"                    "stat" " 12  14   35     0     0   0   0   0   0   0    425     83     2     19    -1"   "extra" "Improves lifespan by allowing the replacement of diseased or defective organs from compatible donors."
"name" "Antiseptics"                          "stat" " 13   0    0     0     0   0   0   0   0   0    150     95     2     20    -1"   "extra" "Study of chemical agents that slow or stop the growth of microorganisms on external surfaces of the body that help prevent infection."
"name" "Whole-Pathogen Vaccines"              "stat" " 13  25    0     0     0   0   0   0   0   0    325     87     2     21    -1"   "extra" "Study of vaccines that use weakened or killed pathogens to elicit strong protective immune response."
"name" "Implants"                             "stat" " 14   0    0     0     0   0   0   0   0   0    225     89     2     22    -1"   "extra" "Study of devices or tissue that are placed inside or on the surface of the body."
"name" "Prosthetics"                          "stat" " 14   0    0     0     0   0   0   0   0   0    225     91     2     23    -1"   "extra" "Study of replacements for amputated, congenially malformed, or missing limbs."
"name" "Ultrasonic Imaging"                   "stat" " 15 147    0     0     0   0   0   0   0   0    650     86     2     24    -1"   "extra" "Use of high-frequency soundwaves to view soft tissues such as muscles and internal organs."
"name" "Psychopharmacology"                   "stat" " 16   0    0     0     0   0   0   0   0   0    225     85     2     25    -1"   "extra" "Study of the use of medications or therapies to treat mental disorders."
"name" "Microbiology"                         "stat" " 17   0    0     0     0   0   0   0   0   0    500     83     2     26    -1"   "extra" "Study of microorganisms that are too small to be seen with the naked eye. This includes bacteria, archaea, viruses, fungi, prions, protozoa, and algae."
"name" "Biotechnical Simulation"              "stat" " 18   0    0     0     0   0   0   0   0   0   1125     77     2     27    -1"   "extra" "Study of the modeling of biological systems to aid in the development of biotechnical control solutions."
"name" "Xenobiology"                          "stat" " 18 305    0     0     0   0   0   0   0   0   1225     38     2     28    -1"   "extra" "Study of strange or alien forms of life."
"name" "Organ Preservation"                   "stat" " 19  47    0     0     0   0   0   0   0   0   1075     75     2     29    -1"   "extra" "Study of the preservation of organs from donors to aid in their successful transplantation."
"name" "Antibiotics"                          "stat" " 20   0    0     0     0   0   0   0   0   0    175     93     2     30    -1"   "extra" "Study of chemicals or organisms that treat or prevent infection."
"name" "Inactivated Vaccines"                 "stat" " 21   0    0     0     0   0   0   0   0   0    350     83     2     31    -1"   "extra" "Study of vaccines that kill the pathogen via chemicals, heat, or radiation to induce immunity."
"name" "Embedded Biosensors"                  "stat" " 22  33  183     0     0   0   0   0   0   0   1075     74     2     32    -1"   "extra" "The extension of implants to sensors that are placed inside or on the surface of the body."
"name" "Surgical LASER"                       "stat" " 22  23  170   195     0   0   0   0   0   0   1050     81     2     33    -1"   "extra" "Study of the use of LASERs to cut soft tissue to aid in the implementation of surgical procedures."
"name" "Medical Sensing"                      "stat" " 24 157    0     0     0   0   0   0   0   0    675     85     2     34    -1"   "extra" "Advancement of techniques to aid in the collection of medical information about the patient including pressure, force, airflow, oxygen, pulse oximetry, temperature, and barcode sensing."
"name" "Immunosuppressive Drugs"              "stat" " 25   0    0     0     0   0   0   0   0   0    250     83     2     35    -1"   "extra" "Study of the use of drugs to lower the body's ability to reject transplants, especially organs."
"name" "Controlled Drug Delivery"             "stat" " 25  32    0     0     0   0   0   0   0   0   1200     69     2     36    -1"   "extra" "Study and design of systems that release the correct dose of a therapeutic directly to the desired zone at the correct time."
"name" "Immunlogy"                            "stat" " 11  21   26     0     0   0   0   0   0   0    800     84     2     37    -1"   "extra" "Study of the immune system."
"name" "Artificial Embryo Twinning"           "stat" " 26   0    0     0     0   0   0   0   0   0    525     53     2     38    -1"   "extra" "Study of techniques that mimic the natural process that creates twins."
"name" "Combinatorial Genomics"               "stat" " 27 229    0     0     0   0   0   0   0   0   1175     50     2     39    -1"   "extra" "Study of the combination of genes, chromosomes, etc. from different source donors to study or create new biological compounds or even organisms."
"name" "Bionanotechnology"                    "stat" " 27 154    0     0     0   0   0   0   0   0   1175     62     2     40    -1"   "extra" "Application of concepts and techniques of fabricating devices at the nanoscale that mimic biological structures with molecular-level precision."
"name" "Xenoimmunology"                       "stat" " 28  37    0     0     0   0   0   0   0   0   1250     41     2     41    -1"   "extra" "Study of strange or alien immune systems."
"name" "Artificial Organs"                    "stat" " 29  43    0     0     0   0   0   0   0   0   1200     41     2     42    -1"   "extra" "Study of man-made or engineered devices that are designed to replace a diseased or deteriorating organ."
"name" "Bioreactors"                          "stat" " 30   0    0     0     0   0   0   0   0   0    200     48     2     43    -1"   "extra" "Study of containers in which whole cells or cell-free enzymes transform raw materials into biochemical products."
"name" "Live-Attenuated Vaccines"             "stat" " 31  37    0     0     0   0   0   0   0   0    850     73     2     44    -1"   "extra" "Study of vaccines that use a weakened pathogen developed via tissue culture techniques to elicit strong immune responses that confer life-long immunity to the pathogen."
"name" "Implantable Bioreactors"              "stat" " 32  43    0     0     0   0   0   0   0   0   1250     41     2     45    -1"   "extra" "Study and design of bioreactors that are implantable inside or on the surface of the body."
"name" "Myoelectric Prosthetics"              "stat" " 33 236    0     0     0   0   0   0   0   0   1650     69     2     46    -1"   "extra" "Study and design of protheses that have self-contained systems that allow control via electrical signals generated from the muscles in the residual limb of the patient. These limbs often include batteries and motors to perform movement."
"name" "Computerized Medical Imaging"         "stat" " 34 221    0     0     0   0   0   0   0   0    800     76     2     47    -1"   "extra" "Combination of medical imaging and sensing technologies with computers to allow a more comprehensive medical analysis of the patient."
"name" "Bone Loss Inhibitors"                 "stat" " 35   0    0     0     0   0   0   0   0   0    275     82     2     48    -1"   "extra" "Study of bone loss and the use of chemicals that minimize it due to disease, disuse, low gravity, etc."
"name" "Combat Drugs"                         "stat" " 36   0    0     0     0   0   0   0   0   0   1225     55     2     49    -1"   "extra" "Study of the use of drugs that enhance the combat performance of soldiers."
"name" "Cellular Pathology"                   "stat" " 37 143    0     0     0   0   0   0   0   0   1025     80     2     50    -1"   "extra" "Science of cells, tissues, and organs to detect abnormalities."
"name" "Embryonic Nuclear Transfer"           "stat" " 38   0    0     0     0   0   0   0   0   0    550     33     2     51    -1"   "extra" "Study of the reconstruction of embryos via the transfer of genetic material from a single donor cell to an unfertilized egg, from which the genetic material has been removed."
"name" "Genetic Engineering"                  "stat" " 39   0    0     0     0   0   0   0   0   0   1200     41     2     52    -1"   "extra" "Study of processes (typically lab-based technologies) that alter the DNA-makeup of an organism."
"name" "Designer Nanoparticles"               "stat" " 40   0    0     0     0   0   0   0   0   0   1200     58     2     53    -1"   "extra" "Study and design of particles that incorporate size, shape, and triggered release into nanoscale drug carriers."
"name" "Xenogenetics"                         "stat" " 41  52    0     0     0   0   0   0   0   0   1375     25     2     54    -1"   "extra" "Scientific study of genes and heredity in strange or alien forms of life."
"name" "Bioengineered Scaffolding"            "stat" " 42 242    0     0     0   0   0   0   0   0   1875     43     2     55    -1"   "extra" "Study and creation of bioengineered materials that aid in wound healing and skin regeneration."
